HCM_1,THPT Trưng Vương,TP Ho Chi Minh,Quận 1,THUONG
HCM_2,THPT Bùi Thị Xuân,TP Ho Chi Minh,Quận 1,THUONG
HCM_3,THPT Len Lơ Man,TP Ho Chi Minh,Quận 1,THUONG
HCM_4,THPT Năng Khiếu TDTT,TP Ho Chi Minh,Quận 1,THUONG
HCM_5,THPT Lương Thế Vinh,TP Ho Chi Minh,Quận 1,THUONG
HCM_6,THPT Giồng Ông Tố,TP Ho Chi Minh,TP Thủ Đức,THUONG
HCM_7,THPT Thủ Thiêm,TP Ho Chi Minh,TP Thủ Đức,THUONG
HCM_8,THPT Lê Quý Đôn,TP Ho Chi Minh,Quận 3,THUONG
HCM_9,THPT Nguyễn Thị Minh Khai,TP Ho Chi Minh,Quận 3,THUONG
HCM_10,THPT Lê Thị Hồng Gấm,TP Ho Chi Minh,Quận 3,THUONG
HCM_11,THPT Marie Curie,TP Ho Chi Minh,Quận 3,THUONG
HCM_12,THPT Nguyễn Thị Diệu,TP Ho Chi Minh,Quận 3,THUONG
HCM_13,THPT Nguyễn Trãi,TP Ho Chi Minh,Quận 4,THUONG
HCM_14,THPT Nguyễn Hữu Thọ,TP Ho Chi Minh,Quận 4,THUONG
HCM_15,TH Thực Hành Sài Gòn,TP Ho Chi Minh,Quận 5,THUONG
HCM_16,THPT Hùng Vương,TP Ho Chi Minh,Quận 5,THUONG
HCM_17,TH Thực Hành Đại Học Sư Phạm,TP Ho Chi Minh,Quận 5,THUONG
HCM_18,THPT Trần Khai Nguyên,TP Ho Chi Minh,Quận 5,THUONG
HCM_19,THPT Trần Hữu Trang,TP Ho Chi Minh,Quận 5,THUONG
HCM_20,THPT Mạc Đĩnh Chi,TP Ho Chi Minh,Quận 6,THUONG
HCM_21,THPT Bình Phú,TP Ho Chi Minh,Quận 6,THUONG
HCM_22,THPT Nguyễn Tất Thành,TP Ho Chi Minh,Quận 6,THUONG
HCM_23,THPT Phạm Phú Thứ,TP Ho Chi Minh,Quận 6,THUONG
HCM_24,THPT Lê Thánh Tôn,TP Ho Chi Minh,Quận 7,THUONG
HCM_25,THPT Tân Phong,TP Ho Chi Minh,Quận 7,THUONG
HCM_26,THPT Ngô Quyền,TP Ho Chi Minh,Quận 7,THUONG
HCM_27,THPT Nam Sài Gòn,TP Ho Chi Minh,Quận 7,THUONG
HCM_28,THPT Lương Văn Can,TP Ho Chi Minh,Quận 8,THUONG
HCM_29,THPT Ngô Gia Tự,TP Ho Chi Minh,Quận 8,THUONG
HCM_30,THPT Tạ Quang Bửu,TP Ho Chi Minh,Quận 8,THUONG
HCM_31,THPT Nguyễn Văn Linh,TP Ho Chi Minh,Quận 8,THUONG
HCM_32,THPT Võ Văn Kiệt,TP Ho Chi Minh,Quận 8,THUONG
HCM_33,THPT Chuyên Năng Khiếu TDTT Nguyễn Thị Định,TP Ho Chi Minh,Quận 8,THUONG
HCM_34,THPT Nguyễn Huệ,TP Ho Chi Minh,TP Thủ Đức,THUONG
HCM_35,THPT Phước Long,TP Ho Chi Minh,TP Thủ Đức,THUONG
HCM_36,THPT Long Trường,TP Ho Chi Minh,TP Thủ Đức,THUONG
HCM_37,THPT Nguyễn Văn Tăng,TP Ho Chi Minh,TP Thủ Đức,THUONG
HCM_38,THPT Tǎng Nhơn Phú A,TP Ho Chi Minh,TP Thủ Đức,THUONG
HCM_39,THPT Nguyễn Khuyến,TP Ho Chi Minh,Quận 10,THUONG
HCM_40,THPT Nguyễn Du,TP Ho Chi Minh,Quận 10,THUONG
HCM_41,THPT Nguyễn An Ninh,TP Ho Chi Minh,Quận 10,THUONG
HCM_42,THCS-THPT Diên Hồng,TP Ho Chi Minh,Quận 10,THUONG
HCM_43,THCS-THPT Sương Nguyệt Anh,TP Ho Chi Minh,Quận 10,THUONG
HCM_44,THPT Nguyễn Hiền,TP Ho Chi Minh,Quận 11,THUONG
HCM_45,THPT Trần Quang Khải,TP Ho Chi Minh,Quận 11,THUONG
HCM_46,THPT Nam Kỳ Khởi Nghĩa,TP Ho Chi Minh,Quận 11,THUONG
HCM_47,THPT Võ Trường Toản,TP Ho Chi Minh,Quận 12,THUONG
HCM_48,THPT Trường Chinh,TP Ho Chi Minh,Quận 12,THUONG
HCM_49,THPT Thạnh Lộc,TP Ho Chi Minh,Quận 12,THUONG
HCM_50,THPT Thanh Đa,TP Ho Chi Minh,Bình Thạnh,THUONG
HCM_51,THPT Võ Thị Sáu,TP Ho Chi Minh,Bình Thạnh,THUONG
HCM_52,THPT Gia Định,TP Ho Chi Minh,Bình Thạnh,THUONG
HCM_53,THPT Phan Đăng Lưu,TP Ho Chi Minh,Bình Thạnh,THUONG
HCM_54,THPT Trần Văn Giàu,TP Ho Chi Minh,Bình Thạnh,THUONG
HCM_55,THPT Hoàng Hoa Thám,TP Ho Chi Minh,Bình Thạnh,THUONG
HCM_56,THPT Gò Vấp,TP Ho Chi Minh,Gò Vấp,THUONG
HCM_57,THPT Nguyễn Công Trứ,TP Ho Chi Minh,Gò Vấp,THUONG
HCM_58,THPT Trần Hưng Đạo,TP Ho Chi Minh,Gò Vấp,THUONG
HCM_59,THPT Nguyễn Trung Trực,TP Ho Chi Minh,Gò Vấp,THUONG
HCM_60,THPT Phú Nhuận,TP Ho Chi Minh,Phú Nhuận,THUONG
HCM_61,THPT Hàn Thuyên,TP Ho Chi Minh,Phú Nhuận,THUONG
HCM_62,THPT Tân Bình,TP Ho Chi Minh,Tân Bình,THUONG
HCM_63,THPT Nguyễn Chí Thanh,TP Ho Chi Minh,Tân Bình,THUONG
HCM_64,THPT Trần Phú,TP Ho Chi Minh,Tân Bình,THUONG
HCM_65,THPT Nguyễn Thượng Hiền,TP Ho Chi Minh,Tân Bình,THUONG
HCM_66,THPT Nguyễn Thái Bình,TP Ho Chi Minh,Tân Bình,THUONG
HCM_67,THPT Nguyễn Hữu Huân,TP Ho Chi Minh,TP Thủ Đức,THUONG
HCM_68,THPT Thủ Đức,TP Ho Chi Minh,TP Thủ Đức,THUONG
HCM_69,THPT Tam Phú,TP Ho Chi Minh,TP Thủ Đức,THUONG
HCM_70,THPT Hiệp Bình,TP Ho Chi Minh,TP Thủ Đức,THUONG
HCM_71,THPT Đào Sơn Tây,TP Ho Chi Minh,TP Thủ Đức,THUONG
HCM_72,THPT Linh Trung,TP Ho Chi Minh,TP Thủ Đức,THUONG
HCM_73,THPT Bình Chiểu,TP Ho Chi Minh,TP Thủ Đức,THUONG
HCM_74,THPT Bình Chánh,TP Ho Chi Minh,Bình Chánh,THUONG
HCM_75,THPT Tân Túc,TP Ho Chi Minh,Bình Chánh,THUONG
HCM_76,THPT Vĩnh Lộc B,TP Ho Chi Minh,Bình Chánh,THUONG
HCM_77,THPT Năng Khiếu TDTT Bình Chánh,TP Ho Chi Minh,Bình Chánh,THUONG
HCM_78,THPT Phong Phú,TP Ho Chi Minh,Bình Chánh,THUONG
HCM_79,THPT Lê Minh Xuân,TP Ho Chi Minh,Bình Chánh,THUONG
HCM_80,THPT Đa Phước,TP Ho Chi Minh,Bình Chánh,THUONG
HCM_81,THCS-THPT Thanh An,TP Ho Chi Minh,Cần Giờ,THUONG
HCM_82,THPT Bình Khánh,TP Ho Chi Minh,Cần Giờ,THUONG
HCM_83,THPT Cần Thạnh,TP Ho Chi Minh,Cần Giờ,THUONG
HCM_84,THPT An Nghĩa,TP Ho Chi Minh,Cần Giờ,THUONG
HCM_85,THPT Củ Chi,TP Ho Chi Minh,Củ Chi,THUONG
HCM_86,THPT Quang Trung,TP Ho Chi Minh,Củ Chi,THUONG
HCM_87,THPT An Nhơn Tây,TP Ho Chi Minh,Củ Chi,THUONG
HCM_88,THPT Trung Phú,TP Ho Chi Minh,Củ Chi,THUONG
HCM_89,THPT Trung Lập,TP Ho Chi Minh,Củ Chi,THUONG
HCM_90,THPT Phú Hòa,TP Ho Chi Minh,Củ Chi,THUONG
HCM_91,THPT Tân Thông Hội,TP Ho Chi Minh,Củ Chi,THUONG
HCM_92,THPT Nguyễn Hữu Cầu,TP Ho Chi Minh,Hóc Môn,THUONG
HCM_93,THPT Lý Thường Kiệt,TP Ho Chi Minh,Hóc Môn,THUONG
HCM_94,THPT Bà Điểm,TP Ho Chi Minh,Hóc Môn,THUONG
HCM_95,THPT Nguyễn Văn Cừ,TP Ho Chi Minh,Hóc Môn,THUONG
HCM_96,THPT Nguyễn Hữu Tiến,TP Ho Chi Minh,Hóc Môn,THUONG
HCM_97,THPT Phạm Văn Sáng,TP Ho Chi Minh,Hóc Môn,THUONG
HCM_98,THPT Hồ Thị Bi,TP Ho Chi Minh,Hóc Môn,THUONG
HCM_99,THPT Long Thới,TP Ho Chi Minh,Nhà Bè,THUONG
HCM_100,THPT Phước Kiển,TP Ho Chi Minh,Nhà Bè,THUONG
HCM_101,THPT Dương Văn Dương,TP Ho Chi Minh,Nhà Bè,THUONG
HCM_102,THPT Tây Thạnh,TP Ho Chi Minh,Tân Phú,THUONG
HCM_103,THPT Lê Trọng Tấn,TP Ho Chi Minh,Tân Phú,THUONG
HCM_104,THPT Vĩnh Lộc,TP Ho Chi Minh,Bình Tân,THUONG
HCM_105,THPT Nguyễn Hữu Cảnh,TP Ho Chi Minh,Bình Tân,THUONG
HCM_106,THPT Bình Hưng Hòa,TP Ho Chi Minh,Bình Tân,THUONG
HCM_107,THPT Bình Tân,TP Ho Chi Minh,Bình Tân,THUONG
HCM_108,THPT An Lạc,TP Ho Chi Minh,Bình Tân,THUONG
